ORGNIZATION NAME (TD/ DTC),DEPOT NAME,BUS NO,BUS ROUTE,REPORT TIME,SPEED,LATEST POI DETAIL IN BUS ROUTE,GPS LOCATION LONGITUDE,GPS LOCATION LATITUDE
CLUSTER,,DL1PC5440,,2021-12-18 18:48:33,17,Bank (DC0137),77.2736,28.5261
CLUSTER,,DL1PD3078,,2021-12-18 18:46:22,18,Madhu Vihar (U00566),77.0614,28.599883
CLUSTER,,DL1PD0445,,2021-12-18 18:44:34,33,Andrews Ganj (U02774),77.229627,28.566027
CLUSTER,,DL1PD3627,,2021-12-18 18:44:00,21,Kirti Nagar (U01344),77.1376,28.655
DTC,,DL1PC0730,,2021-12-18 18:42:56,20,Gopal Pur / Jagat Pur Crossing (U02643),77.224441,28.719051
DTC,,DL1PC9149,,2021-12-18 18:38:35,20,Rohini Sec 18 (DC5124),77.135888,28.73892
DTC,,DL1PC8653,,2021-12-18 18:38:29,33,Panchkuian Road Banwai Lal Hospital (U02295),77.2042,28.6417
CLUSTER,,DL1PC5877,,2021-12-18 18:34:49,6,Ashok Vihar Water Tank (U01798),77.173667,28.687017
CLUSTER,,DL1PD3608,,2021-12-18 18:34:45,27,Raja Garden (U01220),77.1262,28.650783
CLUSTER,,DL1PD3617,,2021-12-18 18:32:56,5,Batra Hospital (Satya Narayan Mandir) (U02960),77.2435,28.5121
CLUSTER,,DL1PC6709,,2021-12-18 18:27:48,12,Badarpur Border (T) (U03551),77.303787,28.49089
DTC,,DL1PC9365,,2021-12-18 18:25:42,0,Peera Garhi Metro Station (U00881),77.09153,28.68001
DTC,,DL1PC7996,,2021-12-18 18:20:34,25,Old Delhi Railway Station (T) (U02686),77.225997,28.660416
CLUSTER,,DL1PC5947,,2021-12-18 18:18:35,6,Akbar Road (U02708),77.22595,28.610633
CLUSTER,,DL1PD2862,,2021-12-18 18:15:28,29,Delhi Sachivalaya (Raj Ghat Power House) (DC4203),77.252694,28.636587
DTC,,DL1PC8915,,2021-12-18 18:10:13,13,Gazipur Depot (U03667),77.315817,28.64195
CLUSTER,,DL1PC5438,,2021-12-18 18:09:44,21,Jaitpur Crossing (U03544),77.302647,28.497217
DTC,,DL1PC7267,,2021-12-18 18:08:54,41,Dr. RML Hospital (U02149),77.196557,28.622396
DTC,Naraina,DL1PC8541,,2021-12-18 18:08:54,34,Inderpuri A-Block (U01490),77.1511,28.6287
CLUSTER,,DL1PC6715,,2021-12-18 18:08:44,13,Jaitpur Crossing (U03538),77.302417,28.496767
CLUSTER,,DL1PD1694,,2021-12-18 18:07:40,27,Central School Lodhi Road (U02735),77.228233,28.584967
CLUSTER,,DL1PD2314,,2021-12-18 18:06:41,27,Dhaka Village (U09586),77.204733,28.706789
DTC,,DL1PC8277,,2021-12-18 18:04:55,17,Ashok Vihar Crossing (U01655),77.164601,28.70205
CLUSTER,,DL1PD2363,,2021-12-18 18:04:26,9,Rajendra Place (U01843),77.1773,28.6425
