name,city,Review
Rajinder Da Dhaba,Delhi NCR,Good
Jia Mom's,Delhi NCR,Bad
Om Vati Sweet,Delhi NCR,Bad
Little Loco Pops,Mumbai,Bad
Gravies,Delhi NCR,Bad
Asharam Foods,Delhi NCR,Good
Bell Pepper,Kolkata,Good
Rapture,Delhi NCR,Good
Kamaluddin Restaurant,Mumbai,Good
Anju Restaurant,Delhi NCR,Bad
Choudhary Gohana Famous Jalebi,Delhi NCR,Bad
D'Momo Factory,Delhi NCR,Bad
New Town Bakery,Kolkata,Bad
Bowl Baby Bowl,Delhi NCR,Good
Lazeez Chicken Corner,Delhi NCR,Good
Fabelle Exquisite Chocolates,Kolkata,Good
Bunooro Barbeque,Delhi NCR,Good
Nawab Seekh Corner,Mumbai,Bad
Vrinda's Food,Delhi NCR,Bad
Don's Den,Delhi NCR,Bad
Hotel Ambika Pure Veg,Mumbai,Bad
Chowpati,Delhi NCR,Good
Lust By The Pool - Radisson Blu Kaushambi Delhi NCR,Delhi NCR,Good
KSC,Delhi NCR,Good
Bukhara - ITC Maurya,Delhi NCR,Good
Zaiqa Mediterranean And Asian Cuisine,Kolkata,Bad
Jayka The Restaurant,Delhi NCR,Bad
Lorreta's Sweet Inspirations,Mumbai,Bad
Kushal Ki Rasoi,Delhi NCR,Bad
Aashirwad,Delhi NCR,Good
Jadukadai,Kolkata,Good
Shri Ram Bhojnalaya,Delhi NCR,Good
Royal Cafe,Delhi NCR,Good
The Friendz Pizza,Delhi NCR,Bad
UG Cafe Bar - HHI,Kolkata,Bad
Mirch The Multicuisine,Delhi NCR,Bad
Asia,Delhi NCR,Bad
The Pavor's,Delhi NCR,Good
Paramjeet Machi Wala,Delhi NCR,Good
Mathur's Kitchen,Delhi NCR,Good
